event_id,event_date,policy_column,policy_change_abs,executive_period,cluster,pre_mean,post_mean,post_minus_pre,n_pre,n_post
1,2001-03-01,tipm,0.5,pastrana,2,-0.002278805228068855,0.0,0.002278805228068855,6,7
2,2001-07-01,tipm,0.5,pastrana,0,-0.0012973502233645424,0.0,0.0012973502233645424,6,7
3,2001-08-01,tipm,1.0,pastrana,0,-0.0016652481219702013,0.0,0.0016652481219702013,6,7
4,2001-09-01,tipm,0.5,pastrana,0,0.0030276978282809397,0.0,-0.0030276978282809397,6,7
5,2001-11-01,tipm,0.5,pastrana,0,-0.00021169995060334643,0.0,0.00021169995060334643,6,7
6,2002-02-01,tipm,0.5,pastrana,0,0.0034197329466497304,0.0,-0.0034197329466497304,6,7
7,2002-04-01,tipm,0.75,pastrana,0,-0.0008178228990411615,0.0,0.0008178228990411615,6,7
8,2002-05-01,tipm,1.0,pastrana,0,0.00489145836875815,0.0,-0.00489145836875815,6,7
9,2002-06-01,tipm,0.5,pastrana,0,0.006503017488216393,0.0,-0.006503017488216393,6,7
10,2002-07-01,tipm,0.5,pastrana,0,0.0035454227479411182,0.0,-0.0035454227479411182,6,7
11,2003-02-01,tipm,1.0,uribe_i,0,0.012523097935245456,0.0,-0.012523097935245456,6,7
12,2003-05-01,tipm,1.0,uribe_i,1,-0.006053932364312638,0.0,0.006053932364312638,6,7
13,2005-09-01,tipm,0.5,uribe_i,1,0.0052809712275411575,0.0,-0.0052809712275411575,6,7
14,2006-11-01,tipm,0.5,uribe_ii,2,-0.0034576528081936377,0.0,0.0034576528081936377,6,7
15,2007-06-01,tipm,0.5,uribe_ii,2,-0.003069019827192839,0.0,0.003069019827192839,6,7
16,2007-08-01,tipm,0.5,uribe_ii,2,0.002494317228333006,0.0,-0.002494317228333006,6,7
17,2009-01-01,tipm,0.5,uribe_ii,2,0.012098152091054878,0.0,-0.012098152091054878,6,7
18,2009-03-01,tipm,0.5,uribe_ii,2,0.01639512901435129,0.0,-0.01639512901435129,6,7
19,2009-04-01,tipm,2.0,uribe_ii,2,-0.0033380691858574765,0.0,0.0033380691858574765,6,7
20,2009-06-01,tipm,1.0,uribe_ii,1,0.007196884595222053,0.0,-0.007196884595222053,6,7
21,2009-07-01,tipm,1.5,uribe_ii,2,0.003056440960257293,0.0,-0.003056440960257293,6,7
22,2009-10-01,tipm,0.5,uribe_ii,2,0.008287865062812946,0.0,-0.008287865062812946,6,7
23,2009-12-01,tipm,0.5,uribe_ii,2,0.013401587484182667,0.0,-0.013401587484182667,6,7
24,2010-04-01,tipm,0.5,uribe_ii,2,0.00272805007561853,0.0,-0.00272805007561853,6,7
