horizon,model,n_train,n_test,mae,rmse,r2,directional_accuracy
1,zero_return_baseline,232,59,0.027129454111057445,0.03409537238883877,-0.1117700182885466,0.0
1,decision_tree,232,59,0.028271516306605963,0.03379065525524327,-0.09198659912813567,0.5932203389830508
1,random_forest,232,59,0.026519307003026415,0.032848847095475524,-0.03196351929005692,0.5932203389830508
1,grey_box_random_forest,232,59,0.0310288948949111,0.03785111345685918,-0.37019191569045273,0.4576271186440678
3,zero_return_baseline,231,58,0.05843438485313432,0.07101109253660418,-0.21864116019484392,0.0
3,decision_tree,231,58,0.05125040891011899,0.061131300356596356,0.09686905861426032,0.7413793103448276
3,random_forest,231,58,0.053937962469729255,0.06579328391256331,-0.04613222651732962,0.6551724137931034
3,grey_box_random_forest,231,58,0.06473925752907908,0.07673812173068792,-0.4231339644153016,0.5172413793103449
6,zero_return_baseline,228,58,0.08859679483648163,0.10917306766998848,-0.38005755556785403,0.0
6,decision_tree,228,58,0.11852617277310783,0.15190563827005024,-1.6718616055307383,0.603448275862069
6,random_forest,228,58,0.08761721249100185,0.10370613207285573,-0.24530303034735446,0.6724137931034483
6,grey_box_random_forest,228,58,0.09594343083248373,0.11149517146072357,-0.43938936982514476,0.5689655172413793
