feature,importance,importance_std
precio_brent_lag_1,0.0016146900163640481,0.00042813002435126524
precio_bolsa_nacional_energetica_lag_3,0.0012035565475825162,0.00035956041809107465
precio_brent_lag_2,0.0010058862614051507,0.0004519382276812383
inflacion_sin_alimentos,0.0008180416201973032,0.0003944552188521994
precio_bolsa_nacional_energetica_lag_2,0.0006593444455663212,0.00023835175956526155
precio_brent,0.00023011933012573107,0.0001421291088700436
bancolombia_price_usd_diff_lag_3,0.0002172589017389849,0.00010525208375069328
bancolombia_price_usd_lag_12,0.00013868019476551905,8.43098429605366e-05
precio_brent_diff_lag_12,0.000129689029999977,0.00020310766345930104
precio_cafe_centusd_diff_lag_6,0.00010420931878410006,4.646885330576283e-05
demanda_energetica_lag_3,0.00010209261930150537,5.709726655042688e-05
umap_embedding_x,9.15005280758524e-05,8.508342690206959e-05
precio_brent_diff_lag_1,8.872124677801879e-05,0.00010997835047185741
inflacion_sin_alimentos_pct_change_1,8.701971280518223e-05,4.401985823909263e-05
trm_diff_lag_1,8.330427257253122e-05,2.2668949376443112e-05
dtf_diff_lag_6,7.660587964384708e-05,2.5893530779292494e-05
inflacion_sin_alimentos_diff_lag_6,7.410924093587123e-05,5.58396738805867e-05
precio_bolsa_nacional_energetica_pct_change_1,7.318695799086727e-05,3.9408228600453704e-05
dtf_diff_lag_2,6.810568713773377e-05,5.150894457053766e-05
precio_brent_diff_lag_2,6.724837565685454e-05,4.3312569605691066e-05
inflacion_sin_alimentos_lag_1,6.629079951037258e-05,8.267739079405229e-05
dtf_diff_lag_3,6.61027519816719e-05,5.341697092043249e-05
tipm_pct_change_1,6.414695780770987e-05,5.783262981999547e-05
precio_bolsa_nacional_energetica_diff_lag_12,6.0950518511294906e-05,3.599244572179888e-05
bancolombia_price_usd_lag_2,4.8119512385463856e-05,1.7123896604493604e-05
dtf_pct_change_1,4.652581813907319e-05,3.788843865388927e-05
trm_diff_lag_2,4.162677615819066e-05,3.814431896080714e-05
precio_cafe_centusd_diff_lag_3,4.027739736935099e-05,2.5288057419279342e-05
trm_diff_lag_6,3.257220857779269e-05,2.6506825354901974e-05
precio_oro_diff_lag_12,3.109813307990289e-05,1.9964540994902712e-05
trm_diff_lag_12,2.8586294691097107e-05,3.0051632370748726e-05
tipm_lag_1,2.8396147198005843e-05,2.6626405084870045e-05
bancolombia_price_usd_lag_6,2.7109436917879122e-05,1.5752729278483107e-05
dtf_diff_lag_12,2.545880061053038e-05,4.0550702742556634e-05
dtf_lag_1,2.4692892649239018e-05,2.8645373889602765e-05
precio_bolsa_nacional_energetica_lag_1,2.4454908396227827e-05,3.447306253671251e-05
precio_bolsa_nacional_energetica_diff_lag_2,2.3280032481511754e-05,7.852306947402101e-05
trm_pct_change_1,2.1062014050961254e-05,1.6503526058652725e-05
bancolombia_price_usd_diff_lag_1,2.0992530103137315e-05,6.96491928842073e-05
trm_diff_1,2.0983729539333917e-05,2.0643833955886257e-05
demanda_energetica_diff_1,1.9733977386290902e-05,2.9539629586740522e-05
trm_diff_lag_3,1.76916981426814e-05,4.471856913420783e-05
bancolombia_price_usd_diff_lag_6,1.7285463282946946e-05,2.8362153872372147e-05
tipm_diff_lag_1,1.707293833854151e-05,2.1537680433810147e-05
bancolombia_price_usd_diff_lag_12,1.6729099064775875e-05,3.237682782626823e-05
tipm,1.636950669390985e-05,1.1093925976012137e-05
inflacion_sin_alimentos_lag_6,1.566475089157665e-05,4.061650173761681e-05
precio_oro_log_return_1_rolling_mean_6,1.4055184313455787e-05,6.05861492110421e-05
bancolombia_price_usd_pct_change_1,1.1215626883518542e-05,2.190570108501361e-05
demanda_energetica_lag_12,1.0434212152767713e-05,2.665117837924084e-05
demanda_energetica_diff_lag_6,8.33769406855464e-06,1.9635858794085258e-05
precio_oro_lag_2,7.1416437070405405e-06,8.522710867019999e-06
precio_oro_log_return_1_rolling_std_12,6.886152165340442e-06,5.64607808315362e-05
demanda_energetica_lag_1,6.816599745720908e-06,7.1114141977498486e-06
precio_oro,5.960329673673076e-06,2.2978177128838333e-06
precio_brent_diff_1,5.85868222013064e-06,7.617859237508902e-05
policy_stance_neutral,4.906911075550774e-06,1.268634130271322e-05
demanda_energetica_lag_6,4.388601561829131e-06,4.4207632634147915e-06
demanda_energetica,4.27927686017307e-06,1.0090019423671296e-05
precio_bolsa_nacional_energetica_diff_lag_6,4.1359418923477e-06,3.585390805059549e-05
tipm_diff_lag_2,3.889570371779644e-06,7.927331095229422e-06
precio_oro_pct_change_1,3.2726849177579232e-06,8.821492082780694e-06
bancolombia_price_usd_diff_1,3.025648543746734e-06,3.736290859135418e-05
precio_bolsa_nacional_energetica_diff_1,1.5262953451139482e-06,3.1628943231000016e-05
policy_stance_tightening,1.3422545889110738e-06,9.169344458628616e-07
bancolombia_price_usd_lag_3,9.728088140460723e-07,6.302913039597107e-06
precio_bolsa_nacional_energetica_lag_6,9.196078358628123e-07,3.644955534072473e-05
tipm_diff_lag_6,4.519734490421312e-07,6.643429969087696e-06
precio_oro_lag_1,2.17113462348123e-07,1.1282152914798632e-06
policy_rate_change,1.9583080101345795e-07,8.738791171099273e-06
umap_cluster_nan,0.0,0.0
umap_cluster_2,0.0,0.0
umap_cluster_1,0.0,0.0
executive_period_duque,0.0,0.0
executive_period_santos_i,0.0,0.0
executive_period_uribe_ii,0.0,0.0
trm_lag_12,0.0,0.0
trm_lag_2,0.0,0.0
trm_lag_1,0.0,0.0
trm_lag_3,0.0,0.0
executive_period_petro,0.0,0.0
trm_lag_6,0.0,0.0
trm,0.0,0.0
umap_cluster_0,0.0,0.0
executive_period_santos_ii,0.0,0.0
executive_period_pastrana,0.0,0.0
year,0.0,0.0
time_index,0.0,0.0
policy_stance_nan,0.0,0.0
executive_period_nan,-6.938893903907229e-19,2.081668171172169e-18
executive_period_uribe_i,-6.938893903907229e-19,2.081668171172169e-18
policy_stance_easing,-6.938893903907229e-19,2.081668171172169e-18
bancolombia_price_usd_diff_lag_2,-2.7458138983013636e-07,2.889507117517875e-05
tipm_diff_lag_3,-6.855010438497345e-07,2.136162349501315e-06
inflacion_sin_alimentos_diff_lag_12,-1.4580491415408514e-06,3.148406936360815e-05
precio_brent_lag_3,-1.7542116785562722e-06,2.2148364456268657e-05
precio_oro_lag_3,-1.7723272381919841e-06,1.9426334714604884e-06
tipm_lag_6,-2.03781770715325e-06,2.05281895866204e-05
umap_cluster_3,-2.613701052732453e-06,8.617583216769961e-07
tipm_diff_lag_12,-3.7469230068760962e-06,1.7934998386969113e-06
tipm_diff_1,-7.4420823743232e-06,2.560059234360456e-06
precio_bolsa_nacional_energetica_diff_lag_3,-7.932544084232606e-06,2.0797801661875393e-05
demanda_energetica_lag_2,-8.56824490038377e-06,1.8193768968081275e-05
dtf_lag_12,-8.84738585559125e-06,3.076098537020704e-05
